feature,importance
grade,0.20101775
hous_val_amt,0.1480476
per_bchlr,0.11758674
waterfront,0.10703357
sqft_living,0.10249723
per_prfsnl,0.0924799
medn_incm_per_prsn_amt,0.043105375
view,0.027279956
lat,0.013974844
bathrooms,0.0122956475
edctn_prfsnl_qty,0.008757752
sqft_above,0.008676879
long,0.008123688
yr_renovated,0.008000097
sqft_lot,0.0072620106
sqft_living15,0.007099594
yr_built,0.0058092936
non_farm_qty,0.005644546
edctn_9_12_qty,0.0049795774
condition,0.004936575
medn_hshld_incm_amt,0.0045829415
edctn_some_clg_qty,0.004322688
edctn_assoc_dgre_qty,0.004255354
floors,0.0041276407
ppltn_qty,0.0038921048
per_9_to_12,0.003811259
per_farm,0.0037430548
sqft_lot15,0.0036151707
urbn_ppltn_qty,0.0035064153
edctn_less_than_9_qty,0.003422948
edctn_high_schl_qty,0.0032340968
per_less_than_9,0.0031923212
sqft_basement,0.0030390404
edctn_bchlr_dgre_qty,0.002688097
per_assoc,0.0025365257
per_some_clg,0.0024284697
per_hsd,0.0023205061
bedrooms,0.0022547108
farm_ppltn_qty,0.0014493056
per_non_farm,0.0011426915
sbrbn_ppltn_qty,0.0010844623
per_urbn,0.00074161397
per_sbrbn,0.0
