feature,importance,rank,model
grade,0.3092552922024634,1,Random Forest
sqft_living,0.2776130961594223,2,Random Forest
per_bchlr,0.08307001256693311,3,Random Forest
hous_val_amt,0.07033779748489186,4,Random Forest
lat,0.042309248558403324,5,Random Forest
waterfront,0.03059381289174873,6,Random Forest
per_prfsnl,0.026087187845368065,7,Random Forest
view,0.020873047882916995,8,Random Forest
sqft_living15,0.01877407952132628,9,Random Forest
long,0.01844097871618526,10,Random Forest
sqft_above,0.017890041729075688,11,Random Forest
yr_built,0.014289902100226478,12,Random Forest
medn_incm_per_prsn_amt,0.013746750004584524,13,Random Forest
sqft_lot,0.0115428388299697,14,Random Forest
sqft_lot15,0.009130515588633639,15,Random Forest
bathrooms,0.0068348113222760805,16,Random Forest
sqft_basement,0.004465549962797056,17,Random Forest
edctn_prfsnl_qty,0.002550319629738329,18,Random Forest
medn_hshld_incm_amt,0.0025275792967776956,19,Random Forest
condition,0.002403639309257446,20,Random Forest
bedrooms,0.0018751639226861044,21,Random Forest
edctn_9_12_qty,0.0016383376454088873,22,Random Forest
yr_renovated,0.0013198018327986558,23,Random Forest
floors,0.0012724881248578044,24,Random Forest
edctn_assoc_dgre_qty,0.0011576663815212602,25,Random Forest
edctn_high_schl_qty,0.001115046045164873,26,Random Forest
edctn_less_than_9_qty,0.001102463380809012,27,Random Forest
edctn_bchlr_dgre_qty,0.0010762660487976968,28,Random Forest
edctn_some_clg_qty,0.0010478463968033923,29,Random Forest
per_some_clg,0.0008303970705909586,30,Random Forest
urbn_ppltn_qty,0.0008285023721485972,31,Random Forest
ppltn_qty,0.0008236174690298918,32,Random Forest
per_hsd,0.0007525688575757397,33,Random Forest
per_9_to_12,0.0007391630445597306,34,Random Forest
per_assoc,0.0006465149998671564,35,Random Forest
per_less_than_9,0.00032042394528773233,36,Random Forest
non_farm_qty,0.0003069631962945884,37,Random Forest
per_urbn,0.0002305714295762283,38,Random Forest
per_non_farm,0.00010546564962690409,39,Random Forest
farm_ppltn_qty,5.72922041570388e-05,40,Random Forest
per_farm,8.763381713925124e-06,41,Random Forest
per_sbrbn,6.260767807211571e-06,42,Random Forest
sbrbn_ppltn_qty,1.9142299207788247e-06,43,Random Forest
grade,0.2000831812620163,1,XGBoost
hous_val_amt,0.16049125790596008,2,XGBoost
sqft_living,0.1137552261352539,3,XGBoost
per_bchlr,0.11323170363903046,4,XGBoost
